tanggal,prec
01-04-2021,19.0
02-04-2021,6.6
03-04-2021,6.6
04-04-2021,0.0
05-04-2021,6.6
06-04-2021,2.9
07-04-2021,10.2
08-04-2021,1.0
09-04-2021,7.5
10-04-2021,0.0
11-04-2021,6.6
12-04-2021,21.0
13-04-2021,2.0
14-04-2021,0.0
15-04-2021,2.3
16-04-2021,6.6
17-04-2021,6.6
18-04-2021,2.0
19-04-2021,14.0
20-04-2021,12.8
21-04-2021,6.6
22-04-2021,0.0
23-04-2021,6.6
24-04-2021,6.6
25-04-2021,30.5
26-04-2021,0.0
27-04-2021,6.6
28-04-2021,6.4
29-04-2021,0.0
30-04-2021,0.0
01-05-2021,9.2
02-05-2021,0.0
03-05-2021,0.0
04-05-2021,0.0
05-05-2021,2.2
06-05-2021,18.9
07-05-2021,0.0
08-05-2021,0.0
09-05-2021,9.2
10-05-2021,0.0
11-05-2021,0.0
12-05-2021,3.6
13-05-2021,9.2
14-05-2021,0.0
15-05-2021,0.0
16-05-2021,9.2
17-05-2021,9.2
18-05-2021,78.0
19-05-2021,9.2
20-05-2021,4.6
21-05-2021,37.8
22-05-2021,9.2
23-05-2021,1.7
24-05-2021,9.2
25-05-2021,9.2
26-05-2021,0.0
27-05-2021,9.2
28-05-2021,0.0
29-05-2021,9.2
30-05-2021,37.4
31-05-2021,1.0
01-06-2021,0.0
02-06-2021,2.5
03-06-2021,0.8
04-06-2021,0.0
05-06-2021,7.3
06-06-2021,0.0
07-06-2021,0.0
08-06-2021,0.5
09-06-2021,0.0
10-06-2021,5.6
11-06-2021,22.8
12-06-2021,7.3
13-06-2021,7.3
14-06-2021,7.3
15-06-2021,0.2
16-06-2021,7.3
17-06-2021,0.3
18-06-2021,7.3
19-06-2021,1.1
20-06-2021,5.8
21-06-2021,21.2
22-06-2021,1.1
23-06-2021,6.0
24-06-2021,5.5
25-06-2021,42.5
26-06-2021,7.3
27-06-2021,7.3
28-06-2021,7.3
29-06-2021,37.0
30-06-2021,0.0
01-07-2021,1.0
02-07-2021,1.0
03-07-2021,1.0
04-07-2021,0.0
05-07-2021,1.0
06-07-2021,1.0
07-07-2021,1.0
08-07-2021,1.0
09-07-2021,1.0
10-07-2021,0.0
10-07-2021,0.0
11-07-2021,1.0
12-07-2021,1.0
13-07-2021,1.0
14-07-2021,0.0
15-07-2021,1.0
16-07-2021,0.0
17-07-2021,1.0
18-07-2021,0.0
19-07-2021,11.0
20-07-2021,0.0
21-07-2021,1.0
22-07-2021,0.0
23-07-2021,0.0
24-07-2021,7.2
25-07-2021,0.0
26-07-2021,0.0
27-07-2021,1.0
28-07-2021,1.0
29-07-2021,0.0
30-07-2021,0.0
31-07-2021,0.0
01-08-2021,1.5
02-08-2021,6.9
03-08-2021,12.1
04-08-2021,6.9
05-08-2021,0.0
06-08-2021,0.0
07-08-2021,0.0
07-08-2021,0.0
08-08-2021,6.9
09-08-2021,0.0
10-08-2021,0.0
11-08-2021,0.0
12-08-2021,0.0
13-08-2021,0.0
14-08-2021,21.5
15-08-2021,4.0
16-08-2021,0.0
17-08-2021,0.8
18-08-2021,0.0
19-08-2021,0.0
20-08-2021,16.1
21-08-2021,6.9
22-08-2021,0.5
23-08-2021,0.0
24-08-2021,0.0
25-08-2021,0.0
26-08-2021,6.9
27-08-2021,0.0
28-08-2021,6.9
29-08-2021,100.0
30-08-2021,6.9
31-08-2021,0.8
01-09-2021,7.4
02-09-2021,7.4
03-09-2021,0.0
04-09-2021,0.0
05-09-2021,0.0
06-09-2021,0.0
07-09-2021,7.4
08-09-2021,11.5
09-09-2021,5.1
10-09-2021,0.0
11-09-2021,0.0
12-09-2021,4.5
13-09-2021,7.4
14-09-2021,7.4
15-09-2021,14.1
16-09-2021,0.0
17-09-2021,8.9
18-09-2021,0.0
18-09-2021,0.0
19-09-2021,0.0
20-09-2021,7.4
21-09-2021,17.0
22-09-2021,5.0
23-09-2021,1.0
24-09-2021,7.4
25-09-2021,7.4
26-09-2021,57.4
27-09-2021,13.4
28-09-2021,31.5
29-09-2021,0.0
30-09-2021,0.0
01-10-2021,0.0
02-10-2021,5.0
03-10-2021,5.0
04-10-2021,0.0
